question,option1,option2,option3,option4,answer
私は学校___行きます,が,に,を,は,に
彼___先生です,は,が,を,に,は
本___読みます,が,を,に,は,を
日本___行きたいです,が,に,を,は,に
私は毎日7時___起きます,を,に,で,が,に
猫___好きです,が,を,に,で,が
友達___映画を見ます,と,を,に,へ,と
机___本があります,に,で,を,が,に
学校___勉強します,で,に,を,が,で
日曜日___公園へ行きます,に,で,を,と,に
私は電車___会社へ行きます,で,を,に,が,で
母___料理を作ります,は,が,を,に,が
私は東京___住んでいます,に,で,を,が,に
昨日友達___会いました,を,に,と,が,に
朝ご飯___食べます,が,を,に,で,を
公園___子供がいます,に,で,を,は,に
私は犬___散歩します,を,に,で,が,を
先生___質問します,を,に,へ,で,に
図書館___本を借ります,で,に,を,へ,で
私は英語___勉強しています,を,が,に,で,を
家___帰ります,を,に,へ,で,へ
友達___手紙を書きます,に,を,が,で,に
学校___先生がいます,に,で,を,へ,に
私は毎日日本語___話します,が,を,に,で,を
部屋___テレビがあります,に,で,を,は,に
バス___駅へ行きます,で,を,が,に,で
彼女___学生です,が,は,を,に,は
コーヒー___飲みます,を,に,が,で,を
私は友達___遊びます,と,を,に,が,と
学校___行きません,に,を,へ,が,に
私は兄___電話します,に,へ,を,が,に
店___パンを買います,で,に,を,へ,で
教室___学生がいます,に,で,を,が,に
彼___サッカーが好きです,は,を,に,で,は
毎朝6時___起きます,に,で,を,へ,に
私は日本語___少し話せます,が,を,に,で,を
部屋___勉強します,に,で,が,へ,で
友達___プレゼントをあげます,に,で,を,が,に
学校___8時に始まります,が,は,で,を,は
東京___大阪まで行きます,に,から,で,を,から
私は先生___本をもらいました,から,に,で,を,から
父___車で会社へ行きます,は,が,を,に,は
家族___旅行します,と,に,を,が,と
私は毎日音楽___聞きます,を,が,に,で,を
駅___近くにスーパーがあります,の,で,に,を,の
日本語___難しいです,が,を,で,に,が
机___ペンがあります,に,で,を,が,に
私は朝___シャワーを浴びます,に,で,を,が,に
友達___一緒に行きます,と,に,で,が,と
彼女___ピアノを弾きます,は,が,を,に,は
