Japanese Phrase,English Meaning,Category
お疲れ様です,Thanks for your hard work,Office
よろしくお願いします,Please treat me kindly,Formal
いただきます,Thank you for the meal,Food
ごちそうさまでした,Thank you for the meal after eating,Food
行ってきます,I am leaving and will come back,Daily Life
ただいま,I'm home,Daily Life
お帰りなさい,Welcome home,Daily Life
失礼します,Excuse me,Formal
お久しぶりです,Long time no see,Conversation
気をつけて,Take care,Daily Life
頑張って,Do your best,Motivation
お邪魔します,Excuse me for disturbing,Visit
お大事に,Take care of yourself,Health
お先に失礼します,Excuse me for leaving first,Office
よろしく,Nice to meet you,Conversation
おめでとうございます,Congratulations,Celebration
申し訳ありません,I'm sorry,Formal
お腹が空きました,I am hungry,Daily Life
眠いです,I am sleepy,Daily Life
どういたしまして,You're welcome,Conversation
いらっしゃいませ,Welcome,Shop
また会いましょう,See you again,Conversation
お元気ですか,How are you?,Conversation
元気です,I am fine,Conversation
おやすみなさい,Good night,Daily Life
おはようございます,Good morning,Greeting
こんにちは,Hello,Greeting
こんばんは,Good evening,Greeting
初めまして,Nice to meet you,Greeting
お手数ですが,Sorry to trouble you,Formal
少々お待ちください,Please wait a moment,Formal
ありがとうございます,Thank you,Conversation
本当にありがとうございます,Thank you very much,Conversation
助かりました,You helped me,Conversation
気にしないでください,Please don't worry,Conversation
どうしましたか,What happened?,Conversation
大丈夫ですか,Are you okay?,Health
無理しないでください,Please don't overdo it,Health
ごめんなさい,I'm sorry,Conversation
すみません,Excuse me,Conversation
お願いします,Please,Formal
お疲れでした,You worked hard,Office
お気をつけて,Please be careful,Daily Life
頑張りましょう,Let's do our best,Motivation
また今度,Maybe next time,Conversation
気分が悪いです,I feel sick,Health
お腹が痛いです,My stomach hurts,Health
頭が痛いです,My head hurts,Health
熱があります,I have a fever,Health
病院へ行った方がいいです,You should go to hospital,Health
お待たせしました,Sorry for keeping you waiting,Formal
確認してください,Please confirm,Office
了解しました,Understood,Office
承知しました,I understand,Office
お世話になっております,Thank you for your support,Office
よろしく伝えてください,Please say hello,Conversation
また連絡します,I will contact you again,Conversation
急いでいます,I am in a hurry,Daily Life
時間がありますか,Do you have time?,Conversation
少し待ってください,Please wait a little,Conversation
後で電話します,I will call later,Conversation
今向かっています,I am on my way,Daily Life
お会いできて嬉しいです,Happy to meet you,Conversation
気を悪くしないでください,Please don't take it badly,Conversation
冗談です,I am joking,Conversation
本当ですか,Really?,Conversation
もちろんです,Of course,Conversation
たぶん,Maybe,Conversation
そうですね,That's right,Conversation
いいですね,That sounds good,Conversation
大変ですね,That's tough,Conversation
素晴らしいですね,That's wonderful,Conversation
気に入りました,I like it,Conversation
残念です,That's unfortunate,Conversation
間違えました,I made a mistake,Conversation
分かりません,I don't understand,Conversation
分かりました,I understand,Conversation
手伝ってください,Please help me,Conversation
手伝いましょうか,Shall I help you?,Conversation
どこですか,Where is it?,Travel
いくらですか,How much is it?,Shopping
これをください,Please give me this,Shopping
カード使えますか,Can I use a card?,Shopping
試着できますか,Can I try it on?,Shopping
領収書をください,Please give me a receipt,Shopping
トイレはどこですか,Where is the toilet?,Travel
駅はどこですか,Where is the station?,Travel
道に迷いました,I am lost,Travel
写真を撮ってもいいですか,May I take a photo?,Travel
英語を話せますか,Can you speak English?,Travel
日本語が少し話せます,I can speak a little Japanese,Conversation
もう一度お願いします,Please say it again,Conversation
ゆっくり話してください,Please speak slowly,Conversation
メニューをください,Please give me the menu,Food
おすすめは何ですか,What do you recommend?,Food
おいしいです,It's delicious,Food
お腹いっぱいです,I am full,Food
辛いです,It's spicy,Food
甘いです,It's sweet,Food
注文お願いします,I would like to order,Food
