Japanese,English,Type
環境,Environment,Noun
責任,Responsibility,Noun
増える,To increase,Verb
比較,Comparison,Noun
減る,To decrease,Verb
技術,Technology,Noun
情報,Information,Noun
解決,Solution,Noun
経験者,Experienced person,Noun
成功,Success,Noun
経済,Economy,Noun
管理,Management,Noun
提案,Suggestion,Noun
状態,Condition,Noun
理解,Understanding,Noun
結果,Result,Noun
制度,System,Noun
改善,Improvement,Noun
活動,Activity,Noun
支援,Support,Noun
重要,Important,Adjective
複雑,Complex,Adjective
実際,Reality,Noun
発展,Development,Noun
協力,Cooperation,Noun
導入,Introduction,Noun
評価,Evaluation,Noun
努力,Effort,Noun
目的,Purpose,Noun
影響,Influence,Noun
