passage,question,option1,option2,option3,option4,answer
田中さんは毎朝7時に起きて会社へ行きます。,What time does Tanaka wake up?,6 AM,7 AM,8 AM,9 AM,7 AM
今日は寒いのでコートを着ます。,Why does the person wear a coat?,Hot weather,Cold weather,Rainy weather,Windy weather,Cold weather
私は日曜日に友達と映画を見ました。,What did the person do on Sunday?,Study,Watch movie,Work,Sleep,Watch movie
彼は図書館で勉強しています。,Where is he studying?,School,Library,Home,Office,Library
私は朝ご飯を食べてから学校へ行きます。,What does the person do before school?,Sleep,Eat breakfast,Watch TV,Exercise,Eat breakfast
昨日スーパーで果物を買いました。,What was bought yesterday?,Clothes,Fruits,Books,Shoes,Fruits
彼女は毎日ピアノを練習します。,What does she practice?,Dance,Piano,Guitar,Math,Piano
今日はとても暑いです。,How is the weather today?,Cold,Hot,Rainy,Windy,Hot
私は毎晩10時に寝ます。,When does the person sleep?,8 PM,9 PM,10 PM,11 PM,10 PM
駅の前に大きいスーパーがあります。,What is in front of the station?,Park,School,Supermarket,Library,Supermarket
